Word,English
als,as
I,I
zijn,his
dat,that
hij,he
was,was
voor,for
op,on
zijn,are
met,with
ze,they
zijn,be
bij,at
een,one
hebben,have
deze,this
van,from
door,by
heet,hot
woord,word
maar,but
wat,what
sommige,some
is,is
het,it
u,you
of,or
had,had
de,the
van,of
aan,to
en,and
een,a
in,in
we,we
kan,can
uit,out
andere,other
waren,were
die,which
doen,do
hun,their
tijd,time
indien,if
zal,will
hoe,how
zei,said
een,an
elk,each
vertellen,tell
doet,does
set,set
drie,three
willen,want
lucht,air
goed,well
ook,also
spelen,play
klein,small
end,end
zetten,put
thuis,home
lezen,read
de hand,hand
poort,port
grote,large
spell,spell
toevoegen,add
zelfs,even
land,land
hier,here
moet,must
grote,big
hoog,high
dergelijke,such
volgen,follow
act,act
waarom,why
vragen,ask
mannen,men
verandering,change
ging,went
licht,light
soort,kind
uitgeschakeld,off
nodig hebben,need
huis,house
afbeelding,picture
proberen,try
ons,us
weer,again
dier,animal
punt,point
moeder,mother
wereld,world
dichtbij,near
bouwen,build
zelf,self
aarde,earth
vader,father
een,any
nieuwe,new
werk,work
deel,part
nemen,take
krijgen,get
plaats,place
gemaakt,made
wonen,live
waar,where
na,after
terug,back
weinig,little
alleen,only
ronde,round
man,man
jaar,year
kwam,came
Show,show
elke,every
goed,good
mij,me
geven,give
onze,our
onder,under
naam,name
zeer,very
door,through
gewoon,just
vorm,form
zin,sentence
grote,great
denken,think
zeggen,say
helpen,help
laag,low
lijn,line
verschillen,differ
beurt,turn
oorzaak,cause
veel,much
betekenen,mean
voor,before
verhuizing,move
rechts,right
jongen,boy
oude,old
ook,too
hetzelfde,same
ze,she
alle,all
er,there
wanneer,when
omhoog,up
gebruiken,use
uw,your
manier,way
over,about
veel,many
dan,then
hen,them
schrijven,write
zou,would
zoals,like
dus,so
deze,these
haar,her
lang,long
maken,make
ding,thing
zien,see
hem,him
twee,two
heeft,has
kijken,look
meer,more
dag,day
kon,could
gaan,go
komen,come
deed,did
aantal,number
klinken,sound
geen,no
meest,most
mensen,people
mijn,my
meer dan,over
weten,know
water,water
dan,than
roep,call
eerste,first
die,who
kan,may
naar beneden,down
kant,side
geweest,been
nu,now
vinden,find
hoofd,head
staan,stand
eigen,own
pagina,page
moeten,should
land,country
gevonden,found
antwoord,answer
de school,school
groeien,grow
studie,study
nog,still
leren,learn
planten,plant
afdekking,cover
voedsel,food
zon,sun
vier,four
tussen,between
staat,state
houden,keep
oog,eye
nooit,never
laatste,last
laten,let
gedachte,thought
stad,city
boom,tree
oversteken,cross
boerderij,farm
hard,hard
begin,start
zou,might
verhaal,story
zaag,saw
ver,far
zee,sea
tekenen,draw
links,left
laat,late
lopen,run
niet,don't
terwijl,while
pers,press
dicht,close
nacht,night
echt,real
leven,life
weinig,few
noorden,north
boek,book
dragen,carry
nam,took
wetenschap,science
eet,eat
kamer,room
vriend,friend
begon,began
idee,idea
vis,fish
berg,mountain
stop,stop
eenmaal,once
base,base
hear,hear
paard,horse
gesneden,cut
zeker,sure
kijken,watch
kleur,color
gezicht,face
hout,wood
belangrijkste,main
geopend,open
lijken,seem
samen,together
volgende,next
wit,white
kinderen,children
beginnen,begin
kreeg,got
lopen,walk
voorbeeld,example
gemak,ease
papier,paper
groep,group
altijd,always
muziek,music
die,those
beide,both
mark,mark
vaak,often
brief,letter
tot,until
mijl,mile
rivier,river
auto,car
voeten,feet
zorg,care
tweede,second
genoeg,enough
vlakte,plain
meisje,girl
gebruikelijke,usual
jonge,young
klaar,ready
boven,above
ooit,ever
rood,red
lijst,list
hoewel,though
voelen,feel
Overleg,talk
vogel,bird
spoedig,soon
lichaam,body
hond,dog
familie,family
rechtstreeks,direct
pose,pose
vertrekken,leave
lied,song
meten,measure
deur,door
artikel,product
zwart,black
korte,short
cijfer,numeral
klasse,class
wind,wind
vraag,question
gebeuren,happen
compleet,complete
schip,ship
gebied,area
helft,half
rots,rock
orde,order
brand,fire
zuiden,south
probleem,problem
stuk,piece
vertelde,told
wist,knew
passeren,pass
sinds,since
boven,top
geheel,whole
king,king
straat,street
inch,inch
vermenigvuldigen,multiply
niets,nothing
cursus,course
blijven,stay
wiel,wheel
volledige,full
kracht,force
blauw,blue
object,object
beslissen,decide
oppervlak,surface
diepe,deep
maan,moon
eiland,island
voet,foot
systeem,system
drukke,busy
toets,test
opnemen,record
boot,boat
gemeenschappelijke,common
goud,gold
mogelijk,possible
vliegtuig,plane
plaats,stead
droge,dry
afvragen,wonder
lachen,laugh
duizend,thousand
geleden,ago
ran,ran
controleren,check
spel,game
vorm,shape
gelijk,equate
heet,hot
miss,miss
bracht,brought
warmte,heat
sneeuw,snow
band,tire
brengen,bring
ja,yes
verre,distant
vullen,fill
oosten,east
schilderen,paint
taal,language
onder,among
eenheid,unit
kracht,power
stad,town
fijne,fine
bepaalde,certain
vliegen,fly
vallen,fall
leiden,lead
huilen,cry
donker,dark
apparaat,machine
noot,note
wachten,wait
plannen,plan
figuur,figure
ster,star
doos,box
zelfstandig naamwoord,noun
veld,field
rest,rest
juist,correct
in staat,able
pond,pound
gedaan,done
schoonheid,beauty
rijden,drive
stond,stood
bevatten,contain
voorzijde,front
leren,teach
week,week
finale,final
gaf,gave
groen,green
oh,oh
snel,quick
ontwikkelen,develop
oceaan,ocean
warme,warm
gratis,free
minuut,minute
sterke,strong
speciaal,special
geest,mind
achter,behind
duidelijk,clear
staart,tail
produceren,produce
feit,fact
ruimte,space
gehoord,heard
best,best
uur,hour
beter,better
ware,true
tijdens,during
honderd,hundred
vijf,five
onthouden,remember
stap,step
vroeg,early
houden,hold
west,west
grond,ground
rente,interest
bereiken,reach
snel,fast
werkwoord,verb
zingen,sing
luisteren,listen
zes,six
tafel,table
reizen,travel
minder,less
ochtend,morning
tien,ten
eenvoudig,simple
verscheidene,several
klinker,vowel
in de richting van,toward
oorlog,war
leggen,lay
tegen,against
patroon,pattern
langzaam,slow
centrum,center
liefde,love
persoon,person
geld,money
dienen,serve
verschijnen,appear
weg,road
kaart,map
regen,rain
regel,rule
regeren,govern
trek,pull
koude,cold
kennisgeving,notice
stem,voice
energie,energy
hunt,hunt
waarschijnlijk,probable
bedden,bed
broer,brother
ei,egg
rit,ride
cel,cell
geloven,believe
misschien,perhaps
pick,pick
plotseling,sudden
tellen,count
square,square
reden,reason
lengte,length
vertegenwoordigen,represent
kunst,art
onderwerp,subject
regio,region
grootte,size
variëren,vary
vestigen,settle
spreken,speak
gewicht,weight
algemeen,general
ijs,ice
aangelegenheid,matter
cirkel,circle
paar,pair
omvatten,include
kloof,divide
lettergreep,syllable
vilt,felt
grand,grand
bal,ball
nog,yet
wave,wave
laten vallen,drop
hart,heart
ben,am
aanwezig,present
zwaar,heavy
dans,dance
motor,engine
positie,position
arm,arm
breed,wide
zeil,sail
materiaal,material
fractie,fraction
bos,forest
zitten,sit
ras,race
venster,window
winkel,store
zomer,summer
trein,train
slaap,sleep
bewijzen,prove
eenzame,lone
been,leg
oefening,exercise
muur,wall
vangst,catch
berg,mount
wensen,wish
hemel,sky
boord,board
vreugde,joy
de winter,winter
zat,sat
geschreven,written
wild,wild
instrument,instrument
gehouden,kept
glas,glass
gras,grass
koe,cow
werk,job
edge,edge
teken,sign
bezoek,visit
verleden,past
zachte,soft
lol,fun
heldere,bright
gas,gas
weer,weather
maand,month
miljoen,million
dragen,bear
afwerking,finish
happy,happy
hopen,hope
bloem,flower
kleden,clothe
vreemd,strange
weg,gone
handel,trade
